filename,label,problem,suggested_check,score
AUT_0025.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0584
AUT_0027.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.007
AUT_0035.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0016
AUT_0038.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0055
AUT_0039.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0226
AUT_0044.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0249
AUT_0046.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0138
AUT_0048.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0183
AUT_0049.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.019
AUT_CFD_0014.jpg,autumn,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0006
img_21.png,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0055
img_23.png,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0105
SPR_0007.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0032
SPR_0018.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0397
SPR_0024.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0043
SPR_0027.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0375
SPR_0028.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.014
SPR_0032.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0014
SPR_0047.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0513
SPR_0049.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0152
SPR_CFD_0010.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.008
SPR_CFD_0030.jpg,spring,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0223
img_6.png,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0014
img_8.png,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0144
SUM_0002.jpg,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0203
SUM_0012.jpg,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0044
SUM_0024.jpg,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0019
SUM_0026.jpg,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0063
SUM_0027.jpg,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0226
SUM_0028.jpg,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0146
SUM_0031.jpg,summer,OUTLIER_WITHIN_OWN_SEASON,manual_review,-0.0419
